編號,學名,中名,評估,特有性,呂勝由,特稀圖,FOT,特稀有,賴明洲,渡假,文建會,教育廳,蘇鴻傑1,蘇鴻傑2
1045,Hemipilia cordifolia,玉山一葉蘭,,,,,,,稀有級,,III,III,,
1046,Holcoglossum quasipinifolium,撬唇蘭,,,,,,,稀有級,III,III,III,C E,HR OP
1047,Hylophila nipponica,蘭嶼袋唇蘭,,Endemic,,,rank2,第二級,,,,,A E,HR
1048,Lecanorchis thalassica,紋皿柱蘭,,Endemic,,,rank2,第四級,,,,,,
1049,Liparis amabilis,白花羊耳蒜,,Endemic,,,rank4,,,,,,,
1050,Liparis cordifolia,心葉羊耳蒜,,,,,,,稀有級,,,,,
1051,Liparis hensoaensis,明潭羊耳蒜,,Endemic,,,rank4,,,,,,,
1052,Liparis krameri var. sasakii,尾唇羊耳蒜,,Endemic,,,rank1,,,III,III,III,,
1053,Liparis somae,高士佛羊耳蒜,,Endemic,,,rank2,第三級,,,,,,
1054,Listera kuanshanensis,關山雙葉蘭,,Endemic,,,rank4,,,,,,,
1055,Listera meifongensis,梅峰雙葉蘭,,Endemic,,,rank2,,,,,,,
1056,Listera nankomontana,南湖雙葉蘭,,Endemic,,,rank2,,,,,,,
1057,Listera pseudonipponica,假日本雙葉蘭,,Endemic,,,rank1,,,,,,,
1058,Listera taizanensis,大山雙葉蘭,,Endemic,,,rank2,,,,,,,
1059,Luisia cordata,心唇金釵蘭,,Endemic,,,rank4,,,,,,,
1060,Microstatorchis compacta,假蜘蛛蘭,,,,,,,,,,,A,HR
1061,Nervilia  aragoana,東亞脈葉蘭,,,,,,,稀有級,II,II,II,,
1062,Nervilia  lanyuensis,蘭嶼脈葉蘭,,Endemic,,,rank4,,,,,,,
1063,Nervilia  plicata,紫花脈葉蘭,,,,,,,稀有級,II,II,II,,
1064,Nervilia aragoana,脈葉蘭,,,,,,,,II,II,II,C,HR MP
1065,Oberonia gigantea,大莪白蘭,,Endemic,,,rank1,第三級,,,,,,
1066,Oberonia pumila,小騎士蘭,,Endemic,,,rank2,,,,,,,
1067,Oberonia rosea,裂瓣莪白蘭,,,,,,,稀有級,,,,,
1068,Oberonia seidenfadenii,密花小騎士蘭,,Endemic,,,rank2,,,,,,,
1069,Orchis kunihikoana,大水窟紅蘭,,,,,,第二級,,,,,,
1070,Oreorchis micrantha ,南湖山蘭,,,,,,第二級,,,,,,
1071,Pachystoma pubescens,粉口蘭,,,,,,,稀有級,III,III,III,,
1072,Peristylus calcaratus,貓鬚蘭,,,,,,,稀有級,III,,III,,
1073,Phaius tankervilleae,紅鶴蘭,,,,,,,,,,,D,HR OP
1074,Phajus longipes,鈴花鶴頂蘭,,,,,,,,III,III,III,,
1075,Phalaenopsis aphrodite,白蝴蝶蘭,,,,,,,瀕危級,II※,II※,II,A,HR OP
1076,Phalaenopsis equestris,桃紅蝴蝶蘭,,,CR(Ⅵ),,,,漸危級,"II,III※","II,III※","II,III",A,
1077,Phreatia formosana,寶島芙樂蘭,,,,,,,,,,,A E,HR
1078,Phreatia taiwaniana,臺灣芙樂蘭,,Endemic,,,rank3,第二級,,,,,,
1079,Brachycorythis galeandra,寬唇苞葉蘭,,,,,,第四級,,,,,,
1080,Platanthera devolii  ,長葉粉蝶蘭,,,,,,第二級,,,,,,
1081,Platanthera longicalcarata,長距粉蝶蘭,,Endemic,,,,第二級,,,,,,
1082,Platanthera yangmeiensis,陰粉蝶蘭,,Endemic,,,,第三級,,,,,,
1083,Pleione bulbocodioides ,臺灣一葉蘭,,,,,,第三級,漸危級,II,II,II,D E,HR OP
1084,Pomatocalpa acuminata ,黃繡球蘭,,Endemic,,,,第三級,,,,,C E,HR OP
1085,Ponerorchis taiwanensis,臺灣小蝶蘭,,Endemic,,,,第三級,稀有級,III,III,III,,
1086,Ponerorchis takasago-montana,高山小蝶蘭,,Endemic,,,rank3,,,,,,,
